code,name,facility_type,district,latitude,longitude,bed_capacity,has_emergency,has_theatre,opens_24h,care_level
F001,Korle Bu Teaching Hospital,TEACHING_HOSPITAL,Korle-Klottey Municipal,5.536,-0.2231,1500,1,1,1,4
F002,Ridge Hospital,REGIONAL_HOSPITAL,Accra Metropolitan,5.56238,-0.1987,420,1,1,1,4
F003,37 Military Hospital,REGIONAL_HOSPITAL,Ayawaso West Municipal,5.5886,-0.1841,500,1,1,1,4
F004,Tema General Hospital,DISTRICT_HOSPITAL,Tema Metropolitan,5.6698,-0.0166,180,1,1,1,3
F005,Ashaiman Polyclinic,POLYCLINIC,Ashaiman Municipal,5.6941,-0.0326,40,1,0,0,2
F006,La General Hospital,DISTRICT_HOSPITAL,La Dade-Kotopon Municipal,5.55538,-0.16657,110,1,1,1,3
F007,Achimota Hospital,DISTRICT_HOSPITAL,Ayawaso West Municipal,5.580728,-0.210467,160,1,1,1,3
F008,Mamprobi Polyclinic,POLYCLINIC,Ablekuma South Municipal,5.53807,-0.24556,40,1,0,0,2
F009,Dansoman Polyclinic,POLYCLINIC,Ablekuma West Municipal,5.5453,-0.2578,40,1,0,0,2
F010,Weija Government Hospital,DISTRICT_HOSPITAL,Ga South Municipal,5.5544,-0.3766,120,1,1,1,3
F011,Amasaman Government Hospital,DISTRICT_HOSPITAL,Ga West Municipal,5.6935,-0.3487,120,1,1,1,3
F012,Central Blood Bank Accra,BLOOD_BANK,Korle-Klottey Municipal,5.536,-0.2231,0,0,0,1,2
F013,Korle Bu Central Laboratory,CENTRAL_LAB,Korle-Klottey Municipal,5.536,-0.2231,0,0,0,1,2
F014,Adenta Municipal Hospital,DISTRICT_HOSPITAL,Adenta Municipal,5.7085,-0.1653,100,1,1,1,3
F015,Madina Polyclinic,POLYCLINIC,La Nkwantanang-Madina Municipal,5.6836,-0.1636,40,1,0,0,2
F016,Ga West Ambulance Station,AMBULANCE_STATION,Ga West Municipal,5.6935,-0.3487,0,1,0,1,1
F017,Ga East Ambulance Station,AMBULANCE_STATION,Ga East Municipal,5.7167,-0.1667,0,1,0,1,1
F018,Ga South Ambulance Station,AMBULANCE_STATION,Ga South Municipal,5.5544,-0.3766,0,1,0,1,1
F019,Ga Central Ambulance Station,AMBULANCE_STATION,Ga Central Municipal,5.6017,-0.2812,0,1,0,1,1
F020,Adenta Ambulance Station,AMBULANCE_STATION,Adenta Municipal,5.7085,-0.1653,0,1,0,1,1
F021,Ashaiman Ambulance Station,AMBULANCE_STATION,Ashaiman Municipal,5.6941,-0.0326,0,1,0,1,1
F022,Tema Ambulance Station,AMBULANCE_STATION,Tema Metropolitan,5.6698,-0.0166,0,1,0,1,1
F023,Accra Metro Ambulance Station,AMBULANCE_STATION,Accra Metropolitan,5.5502,-0.2174,0,1,0,1,1
F024,La Nkwantanang Ambulance Station,AMBULANCE_STATION,La Nkwantanang-Madina Municipal,5.6836,-0.1636,0,1,0,1,1
F025,Ledzokuku Ambulance Station,AMBULANCE_STATION,Ledzokuku Municipal,5.5875,-0.0919,0,1,0,1,1
F026,Krowor Ambulance Station,AMBULANCE_STATION,Krowor Municipal,5.5975,-0.0778,0,1,0,1,1
F027,Ablekuma North Ambulance Station,AMBULANCE_STATION,Ablekuma North Municipal,5.5793,-0.2508,0,1,0,1,1
F028,Ablekuma West Ambulance Station,AMBULANCE_STATION,Ablekuma West Municipal,5.5453,-0.2578,0,1,0,1,1
F029,Ayawaso West Ambulance Station,AMBULANCE_STATION,Ayawaso West Municipal,5.6058,-0.1897,0,1,0,1,1
F030,Ayawaso East Ambulance Station,AMBULANCE_STATION,Ayawaso East Municipal,5.5964,-0.1969,0,1,0,1,1
F031,Okaikwei North Ambulance Station,AMBULANCE_STATION,Okaikwei North Municipal,5.6089,-0.2317,0,1,0,1,1
F032,Weija Gbawe Ambulance Station,AMBULANCE_STATION,Weija Gbawe Municipal,5.5697,-0.3251,0,1,0,1,1
F033,Amasaman Health Centre,HEALTH_CENTRE,Ga West Municipal,5.6935,-0.3487,12,0,0,0,1
F034,Pokuase Health Centre,HEALTH_CENTRE,Ga West Municipal,5.6553,-0.2929,12,0,0,0,1
F035,Ofankor CHPS Compound,CHPS_COMPOUND,Ga West Municipal,5.6386,-0.2494,6,0,0,0,1
F036,Ablekuma Health Centre,HEALTH_CENTRE,Ablekuma North Municipal,5.5793,-0.2508,12,0,0,0,1
F037,Kwabenya CHPS Compound,CHPS_COMPOUND,Ga East Municipal,5.6672,-0.2214,6,0,0,0,1
F038,Taifa CHPS Compound,CHPS_COMPOUND,Okaikwei North Municipal,5.6472,-0.2364,6,0,0,0,1
F039,Dome CHPS Compound,CHPS_COMPOUND,Ga East Municipal,5.6236,-0.2286,6,0,0,0,1
F040,Nungua Health Centre,HEALTH_CENTRE,Krowor Municipal,5.5975,-0.0778,12,0,0,0,1
F041,Teshie CHPS Compound,CHPS_COMPOUND,Ledzokuku Municipal,5.5875,-0.0919,6,0,0,0,1
F042,Sakumono Health Centre,HEALTH_CENTRE,Ledzokuku Municipal,5.6167,-0.05,12,0,0,0,1
F043,North Legon Health Centre,HEALTH_CENTRE,Ayawaso West Municipal,5.6608,-0.1869,12,0,0,0,1
F044,Ashaiman Zongo CHPS Compound,CHPS_COMPOUND,Ashaiman Municipal,5.6941,-0.0326,6,0,0,0,1
F045,Mallam CHPS Compound,CHPS_COMPOUND,Ga South Municipal,5.5586,-0.2814,6,0,0,0,1
F046,Bortianor Health Centre,HEALTH_CENTRE,Ga South Municipal,5.53,-0.3833,12,0,0,0,1
F047,Gbawe CHPS Compound,CHPS_COMPOUND,Weija Gbawe Municipal,5.5697,-0.3251,6,0,0,0,1
F048,Oyibi Health Centre,HEALTH_CENTRE,Kpone Katamanso Municipal,5.7333,-0.0667,12,0,0,0,1
F049,Katamanso CHPS Compound,CHPS_COMPOUND,Kpone Katamanso Municipal,5.6833,-0.0333,6,0,0,0,1
F050,Ningo CHPS Compound,CHPS_COMPOUND,Ningo-Prampram District,5.7833,0.1,6,0,0,0,1
F051,Prampram CHPS Compound,CHPS_COMPOUND,Ningo-Prampram District,5.7167,0.0833,6,0,0,0,1
F052,Dodowa Health Centre,HEALTH_CENTRE,Shai-Osudoku District,5.8833,-0.1,12,0,0,0,1
