resource_id,code,resource_type,home_facility_id,capacity,care_level,available_from,available_to,shift_minutes,is_available
,R001,RESPONSE_TEAM,F084,10,1,07:00,19:00,720,1
,R002,AMBULANCE,F075,1,3,18:00,06:00,720,1
,R003,AMBULANCE,F012,1,3,06:00,18:00,720,1
,R004,RESPONSE_TEAM,F012,9,1,06:00,20:00,840,1
,R005,RESPONSE_TEAM,F029,1,2,08:00,17:00,540,1
,R006,RESPONSE_TEAM,F074,3,2,08:00,17:00,540,1
,R007,RESPONSE_TEAM,F006,1,2,08:00,17:00,540,1
,R008,RESPONSE_TEAM,F054,1,2,08:00,16:00,480,1
,R009,AMBULANCE,F040,1,3,00:00,23:59,1439,1
,R010,RESPONSE_TEAM,F014,3,2,08:00,17:00,540,1
,R011,RESPONSE_TEAM,F048,3,2,08:00,17:00,540,1
,R012,AMBULANCE,F008,1,3,00:00,23:59,1439,1
,R013,RESPONSE_TEAM,F100,2,2,08:00,16:00,480,1
,R014,RESPONSE_TEAM,F039,15,1,07:00,19:00,720,1
,R015,AMBULANCE,F100,1,3,00:00,23:59,1439,1
,R016,AMBULANCE,F064,2,3,00:00,23:59,1439,1
,R017,RESPONSE_TEAM,F078,1,2,06:00,14:00,480,1
,R018,RESPONSE_TEAM,F054,1,2,14:00,22:00,480,1
,R019,AMBULANCE,F063,2,3,06:00,18:00,720,1
,R020,RESPONSE_TEAM,F044,9,1,07:00,19:00,720,1
,R021,RESPONSE_TEAM,F075,3,2,08:00,16:00,480,1
,R022,RESPONSE_TEAM,F035,1,2,08:00,17:00,540,1
,R023,RESPONSE_TEAM,F094,9,1,06:00,20:00,840,1
,R024,RESPONSE_TEAM,F037,3,2,08:00,16:00,480,1
,R025,RESPONSE_TEAM,F003,3,2,08:00,16:00,480,1
,R026,RESPONSE_TEAM,F079,1,2,08:00,17:00,540,1
,R027,AMBULANCE,F099,1,3,06:00,18:00,720,1
,R028,AMBULANCE,F051,1,3,18:00,06:00,720,1
,R029,RESPONSE_TEAM,F022,1,2,08:00,17:00,540,1
,R030,RESPONSE_TEAM,F114,16,1,07:00,19:00,720,1
,R031,AMBULANCE,F036,2,3,00:00,23:59,1439,1
,R032,RESPONSE_TEAM,F030,2,2,08:00,16:00,480,1
