link_id,from_facility_id,to_facility_id,distance_km,base_time_min,traffic_weight,road_condition,is_one_way,route_name
1,F001,F024,3.47,7.2,1.1,GOOD,0,
2,F024,F001,3.47,7.2,1.1,GOOD,0,
3,F001,F053,4.18,8.2,2.4,POOR,1,
4,F002,F034,1.06,2.5,1.1,GOOD,0,
5,F034,F002,1.06,2.5,1.1,GOOD,0,
6,F002,F102,1.31,4.3,1.4,FAIR,0,
7,F102,F002,1.31,4.3,1.4,FAIR,0,
8,F003,F047,0.71,2,2.2,FAIR,1,
9,F003,F110,0.06,0.1,2.4,GOOD,0,
10,F110,F003,0.06,0.1,2.4,GOOD,0,
11,F004,F023,0.7,1.2,1.7,GOOD,1,
12,F005,F082,1.18,2.2,2.2,FAIR,0,
13,F082,F005,1.18,2.2,2.2,FAIR,0,
14,F006,F104,1.36,3,2.9,GOOD,0,
15,F104,F006,1.36,3,2.9,GOOD,0,
16,F006,F114,0.9,1.7,2.2,POOR,0,
17,F114,F006,0.9,1.7,2.2,POOR,0,
18,F007,F018,0.34,0.7,1.1,GOOD,0,
19,F018,F007,0.34,0.7,1.1,GOOD,0,
20,F008,F070,0.38,1.2,1.5,GOOD,0,
21,F070,F008,0.38,1.2,1.5,GOOD,0,
22,F009,F070,0.79,1.6,1.7,GOOD,0,
23,F070,F009,0.79,1.6,1.7,GOOD,0,
24,F009,F080,0.35,0.9,2.9,FAIR,0,
25,F080,F009,0.35,0.9,2.9,FAIR,0,
26,F010,F080,2.4,6.9,2.5,GOOD,0,
27,F080,F010,2.4,6.9,2.5,GOOD,0,
28,F011,F015,0.54,0.9,2.3,FAIR,0,
29,F015,F011,0.54,0.9,2.3,FAIR,0,
30,F011,F021,0.46,0.9,2.6,GOOD,1,
31,F012,F103,0.35,0.9,1.5,GOOD,0,
32,F103,F012,0.35,0.9,1.5,GOOD,0,
33,F013,F074,0.81,1.5,1.6,FAIR,0,
34,F074,F013,0.81,1.5,1.6,FAIR,0,
35,F013,F084,0.41,0.7,1.9,GOOD,0,
36,F084,F013,0.41,0.7,1.9,GOOD,0,
37,F013,F091,0.13,0.3,1.5,FAIR,0,
38,F091,F013,0.13,0.3,1.5,FAIR,0,
39,F013,F101,0.82,2,1.4,POOR,0,
40,F101,F013,0.82,2,1.4,POOR,0,
41,F014,F018,0.39,1.2,1.1,GOOD,0,
42,F018,F014,0.39,1.2,1.1,GOOD,0,
43,F014,F054,0.31,0.6,1.8,GOOD,0,
44,F054,F014,0.31,0.6,1.8,GOOD,0,
45,F015,F078,0.39,0.7,2.1,POOR,0,
46,F078,F015,0.39,0.7,2.1,POOR,0,
47,F016,F030,0.93,3.1,2.4,FAIR,0,
48,F030,F016,0.93,3.1,2.4,FAIR,0,
49,F016,F067,0.31,0.8,2.3,GOOD,0,
50,F067,F016,0.31,0.8,2.3,GOOD,0,
51,F017,F062,0.25,0.6,2.9,POOR,0,
52,F062,F017,0.25,0.6,2.9,POOR,0,
53,F019,F024,1.36,3.1,1.4,POOR,0,
54,F024,F019,1.36,3.1,1.4,POOR,0,
55,F019,F035,1.28,3.3,2.3,FAIR,0,
56,F035,F019,1.28,3.3,2.3,FAIR,0,
57,F020,F042,0.08,0.2,2.1,FAIR,0,
58,F042,F020,0.08,0.2,2.1,FAIR,0,
59,F020,F095,0.18,0.6,1.6,GOOD,0,
60,F095,F020,0.18,0.6,1.6,GOOD,0,
61,F021,F047,1.08,2,2.7,GOOD,1,
62,F021,F083,1.47,2.7,2.9,GOOD,0,
63,F083,F021,1.47,2.7,2.9,GOOD,0,
64,F022,F072,0.19,0.6,2.5,FAIR,0,
65,F072,F022,0.19,0.6,2.5,FAIR,0,
66,F023,F032,0.76,1.7,2.1,GOOD,0,
67,F032,F023,0.76,1.7,2.1,GOOD,0,
68,F023,F093,0.29,0.7,1.4,FAIR,0,
69,F093,F023,0.29,0.7,1.4,FAIR,0,
70,F025,F081,1.5,4.2,1.6,POOR,0,
71,F081,F025,1.5,4.2,1.6,POOR,0,
72,F026,F088,0.64,1.5,2,GOOD,0,
73,F088,F026,0.64,1.5,2,GOOD,0,
