Algorithm,Vertices,Edges,AverageTimeNs
BFS_Reachability,300,299,615058
DFS,300,299,559189
Dijkstra,300,299,1141135
Kruskal,300,299,178342
Prim,300,299,1239365
BFS_Reachability,300,895,880932
DFS,300,895,877394
Dijkstra,300,895,2124330
Kruskal,300,895,489408
Prim,300,895,2417210
BFS_Reachability,300,1797,1567649
DFS,300,1797,1063887
Dijkstra,300,1797,3644548
Kruskal,300,1797,789918
Prim,300,1797,3323960
BFS_Reachability,300,3586,2221642
DFS,300,3586,2083208
Dijkstra,300,3586,6748197
Kruskal,300,3586,1173650
Prim,300,3586,5362282
BFS_Reachability,300,7185,3804802
DFS,300,7185,1623197
Dijkstra,300,7185,11667015
Kruskal,300,7185,2152833
Prim,300,7185,6327559
