Algorithm,Vertices,Edges,AverageTimeNs
BFS_Reachability,50,150,914543
DFS,50,150,449098
Dijkstra,50,150,474069
Kruskal,50,150,133647
Prim,50,150,882918
BFS_Reachability,100,297,903467
DFS,100,297,640213
Dijkstra,100,297,654059
Kruskal,100,297,224554
Prim,100,297,1399064
BFS_Reachability,200,597,1159369
DFS,200,597,1199796
Dijkstra,200,597,1555544
Kruskal,200,597,295258
Prim,200,597,2482318
BFS_Reachability,400,1199,2210056
DFS,400,1199,2386577
Dijkstra,400,1199,4458403
Kruskal,400,1199,584202
Prim,400,1199,5275985
BFS_Reachability,800,2398,4029162
DFS,800,2398,3007070
Dijkstra,800,2398,13994021
Kruskal,800,2398,1121515
Prim,800,2398,9416266
