Series,N,LoadFactor,Capacity,CollisionCount,LongestBucket,ResizeCount,AverageGetTimeNs
ChainedHashTable,100,0.4484304932735426,223,33,3,2,50619
ChainedHashTable,300,0.6681514476614699,449,127,5,3,47429
ChainedHashTable,800,0.43883708173340646,1823,342,4,5,54882
ChainedHashTable,1500,0.40994807324405574,3659,638,5,6,43628
ChainedHashTable,3000,0.4097800846878842,7321,1278,5,7,44184
ChainedHashTable,5000,0.6829668078131402,7321,2146,6,7,40361
ChainedHashTable,8000,0.5459632839691531,14653,3302,6,8,40377
ChainedHashTable,12000,0.4094026133533486,29311,5042,5,9,36558
ChainedHashTable,16000,0.5458701511377981,29311,6623,5,9,45703
ChainedHashTable,20000,0.6823376889222477,29311,8490,6,9,36612
