volume,policy,run,missed_count,missed_rate,avg_wait_critical_min,avg_wait_overall_min
50,FCFS,1,0,0.0000,0.00,0.60
50,TRIAGE_PRIORITY,1,0,0.0000,0.00,0.60
50,FCFS,2,0,0.0000,0.60,1.16
50,TRIAGE_PRIORITY,2,0,0.0000,0.60,1.30
50,FCFS,3,0,0.0000,0.09,0.06
50,TRIAGE_PRIORITY,3,0,0.0000,0.09,0.06
100,FCFS,1,0,0.0000,0.56,0.98
100,TRIAGE_PRIORITY,1,0,0.0000,0.25,1.03
100,FCFS,2,0,0.0000,0.00,0.17
100,TRIAGE_PRIORITY,2,0,0.0000,0.00,0.17
100,FCFS,3,0,0.0000,0.24,1.01
100,TRIAGE_PRIORITY,3,0,0.0000,0.24,1.09
200,FCFS,1,1,0.0050,1.23,0.93
200,TRIAGE_PRIORITY,1,1,0.0050,1.13,0.91
200,FCFS,2,0,0.0000,0.41,0.51
200,TRIAGE_PRIORITY,2,0,0.0000,0.41,0.51
200,FCFS,3,1,0.0050,1.98,1.82
200,TRIAGE_PRIORITY,3,0,0.0000,1.34,2.03
500,FCFS,1,10,0.0200,2.67,1.89
500,TRIAGE_PRIORITY,1,7,0.0140,1.86,2.06
500,FCFS,2,2,0.0040,1.73,2.10
500,TRIAGE_PRIORITY,2,2,0.0040,1.46,2.10
500,FCFS,3,4,0.0080,1.63,1.30
500,TRIAGE_PRIORITY,3,5,0.0100,1.68,1.25
